Library,Url,CDNJS,Github Star,# Versions,PTV # True Sep,PTV Fineness,LDC # True Sep,LDC # False Sep,LDC Fineness,# Labeled Versions
jQuery Mobile,http://jquerymobile.com/,https://cdnjs.com/libraries/jquery-mobile,9718,10,10,1.00,10,0,1.00,6
Pusher,https://pusher.com/docs/,https://cdnjs.com/libraries/pusher,1989,60,19,0.32,16,0,0.27,15
FuseJS,http://fusejs.io/,https://cdnjs.com/libraries/fuse.js,16622,76,46,0.61,42,2,0.53,41
Socket.IO,https://socket.io/,https://cdnjs.com/libraries/socket.io,59115,126,42,0.33,33,2,0.25,32
FlotCharts,http://www.flotcharts.org/,https://cdnjs.com/libraries/flot,5949,54,10,0.19,7,2,0.09,48
Rapha&euml;l,http://dmitrybaranovskiy.github.io/raphael/,https://cdnjs.com/libraries/raphael,1518,30,25,0.83,24,6,0.60,29
Riot,http://riotjs.com/,https://cdnjs.com/libraries/riot,14807,271,251,0.93,190,7,0.68,189
Processing.js,http://processingjs.org,https://cdnjs.com/libraries/processing.js,3090,51,32,0.63,25,6,0.37,31
core-js,https://github.com/zloirock/core-js,https://cdnjs.com/libraries/core-js,23071,206,161,0.78,90,4,0.42,139
Velocity.js,http://velocityjs.org/,https://cdnjs.com/libraries/velocity,17241,67,29,0.43,7,3,0.06,7
YUI 3,https://yuilibrary.com/,https://cdnjs.com/libraries/yui,4105,69,32,0.46,18,12,0.09,63
CamanJS,http://camanjs.com/,https://cdnjs.com/libraries/camanjs,3513,18,17,0.94,10,2,0.44,13
Handsontable,https://handsontable.com/,https://cdnjs.com/libraries/handsontable,18337,183,147,0.80,44,3,0.22,146
Matter.js,http://brm.io/matter-js/,https://cdnjs.com/libraries/matter-js,15117,22,19,0.86,1,0,0.05,15